bloque,sim_start,sim_end,flight_start,algorithm,estrategia,log_file,asignados,total_paquetes,fuera_plazo,colapso,horas_promedio_entrega,costo_total,metricas
9,2027-08-11,2027-08-15,2027-08-10,ACO,ACO,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_151152.log,365,800,73,0,27.05,4542373.40,"{feromonaMaxima=0.033957692345267874, paquetesNoAsignados=435.0, feromonaMinima=0.03167635202407837, hormigasEliteACO=2.0, topRutasACO=4.0}"
10,2027-11-28,2027-12-02,2027-11-27,ALNS,ALNS,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_151212.log,707,800,205,0,29.31,1463219.78,"{pesoReparacionRegret=0.3471625, paquetesNoAsignados=93.0, pesoRupturaRandom=0.3471625, pesoRupturaWorstDelay=0.3471625, pesoReparacionGreedy=0.3471625}"
10,2027-11-28,2027-12-02,2027-11-27,ACO,ACO,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_151234.log,346,800,101,0,29.78,4802802.35,"{feromonaMaxima=0.03381530584003007, paquetesNoAsignados=454.0, feromonaMinima=0.03167635202407837, hormigasEliteACO=2.0, topRutasACO=4.0}"
11,2028-02-17,2028-02-21,2028-02-16,ALNS,ALNS,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_151253.log,703,800,153,0,27.56,1371872.72,"{pesoReparacionRegret=0.3471625, paquetesNoAsignados=97.0, pesoRupturaRandom=0.3471625, pesoRupturaWorstDelay=0.3471625, pesoReparacionGreedy=0.3471625}"
11,2028-02-17,2028-02-21,2028-02-16,ACO,ACO,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_151310.log,369,800,83,0,27.83,4527769.48,"{feromonaMaxima=0.034617609437210387, paquetesNoAsignados=431.0, feromonaMinima=0.03167635202407837, hormigasEliteACO=2.0, topRutasACO=4.0}"
12,2028-03-18,2028-03-22,2028-03-17,ALNS,ALNS,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_151329.log,708,800,177,0,27.88,1382239.57,"{pesoReparacionRegret=0.3471625, paquetesNoAsignados=92.0, pesoRupturaRandom=0.3471625, pesoRupturaWorstDelay=0.3471625, pesoReparacionGreedy=0.3471625}"
12,2028-03-18,2028-03-22,2028-03-17,ACO,ACO,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_151355.log,354,800,88,0,28.11,4689951.88,"{feromonaMaxima=0.03459399046214234, paquetesNoAsignados=446.0, feromonaMinima=0.03167635202407837, hormigasEliteACO=2.0, topRutasACO=4.0}"
13,2028-06-20,2028-06-24,2028-06-19,ALNS,ALNS,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_151415.log,699,800,171,0,28.65,1457527.63,"{pesoReparacionRegret=0.3471625, paquetesNoAsignados=101.0, pesoRupturaRandom=0.3471625, pesoRupturaWorstDelay=0.3471625, pesoReparacionGreedy=0.3471625}"
13,2028-06-20,2028-06-24,2028-06-19,ACO,ACO,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_151440.log,343,800,74,0,29.24,4765030.58,"{feromonaMaxima=0.033882826835359245, paquetesNoAsignados=457.0, feromonaMinima=0.03167635202407837, hormigasEliteACO=2.0, topRutasACO=4.0}"
14,2028-08-30,2028-09-03,2028-08-29,ALNS,ALNS,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_151459.log,721,800,169,0,27.85,1232580.45,"{pesoReparacionRegret=0.3471625, paquetesNoAsignados=79.0, pesoRupturaRandom=0.3471625, pesoRupturaWorstDelay=0.3471625, pesoReparacionGreedy=0.3471625}"
14,2028-08-30,2028-09-03,2028-08-29,ACO,ACO,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_151524.log,357,800,87,0,28.99,4657848.68,"{feromonaMaxima=0.03431876921787404, paquetesNoAsignados=443.0, feromonaMinima=0.03167635202407837, hormigasEliteACO=2.0, topRutasACO=4.0}"
15,2028-10-24,2028-10-28,2028-10-23,ALNS,ALNS,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_151544.log,723,800,170,0,27.46,1214857.03,"{pesoReparacionRegret=0.3471625, paquetesNoAsignados=77.0, pesoRupturaRandom=0.3471625, pesoRupturaWorstDelay=0.3471625, pesoReparacionGreedy=0.3471625}"
15,2028-10-24,2028-10-28,2028-10-23,ACO,ACO,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_151606.log,377,800,96,0,27.73,4480452.78,"{feromonaMaxima=0.03392347389185107, paquetesNoAsignados=423.0, feromonaMinima=0.03167635202407837, hormigasEliteACO=2.0, topRutasACO=4.0}"
